month,day,campaign_number,user_engagement,banner,placement,displays,cost,clicks,revenue,post_click_conversions,post_click_sales_amount,ctr,roi_computed,revenue_per_click
April,1,camp 2,Medium,160 x 600,ghi,2469,3.7891,58,2.2803,3,236.7731,2.3491,60.1805,0.0393
April,1,camp 2,Medium,160 x 600,mno,181282,45.9527,3611,141.9534,56,2923.7718,1.9919,308.912,0.0393
April,1,camp 2,Low,240 x 400,def,12670,1.4582,51,2.0051,0,0.0,0.4025,137.5051,0.0393
April,1,camp 2,Low,240 x 400,ghi,23968,18.3079,574,22.5666,10,1003.2078,2.3949,123.2615,0.0393
April,1,camp 2,Low,240 x 400,jkl,3706,1.6423,48,1.8871,0,0.0,1.2952,114.9059,0.0393
April,1,camp 2,Low,240 x 400,mno,39787,4.5533,209,8.2163,0,0.0,0.5253,180.4471,0.0393
April,1,camp 2,Medium,240 x 400,def,64482,13.582,886,34.825,4,166.4344,1.374,256.4055,0.0393
April,1,camp 2,Medium,240 x 400,ghi,214846,184.0818,10390,408.4178,146,12485.0212,4.836,221.8676,0.0393
April,1,camp 2,Medium,240 x 400,jkl,28666,13.0473,755,29.6727,18,916.0838,2.6338,227.4241,0.0393
April,1,camp 2,Medium,240 x 400,mno,184116,61.6561,2720,106.9128,39,3724.3667,1.4773,173.4018,0.0393
April,1,camp 2,Low,300 x 250,abc,3,0.0061,1,0.0393,0,0.0,33.3333,644.2623,0.0393
April,1,camp 2,Low,300 x 250,def,8682,1.497,44,1.7286,0,0.0,0.5068,115.4709,0.0393
April,1,camp 2,Low,300 x 250,ghi,4354,2.6398,86,3.3786,2,141.2879,1.9752,127.987,0.0393
April,1,camp 2,Low,300 x 250,jkl,128,0.072,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 2,Low,300 x 250,mno,92429,9.1632,498,19.5742,1,12.9709,0.5388,213.6175,0.0393
April,1,camp 2,Medium,300 x 250,abc,11,0.017,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 2,Medium,300 x 250,def,35227,14.1625,401,15.7612,14,839.2774,1.1383,111.2883,0.0393
April,1,camp 2,Medium,300 x 250,ghi,33570,20.8269,1426,56.0374,38,2771.717,4.2478,269.0626,0.0393
April,1,camp 2,Medium,300 x 250,jkl,2324,1.318,19,0.747,0,0.0,0.8176,56.6768,0.0393
April,1,camp 2,Medium,300 x 250,mno,304259,73.5196,3328,130.8237,52,6350.6364,1.0938,177.944,0.0393
April,1,camp 2,Low,468 x 60,def,273,0.0244,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 2,Low,468 x 60,ghi,7,0.0027,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 2,Low,468 x 60,mno,587,0.0259,2,0.0786,0,0.0,0.3407,303.4749,0.0393
April,1,camp 2,Medium,468 x 60,def,1324,0.2195,9,0.3538,0,0.0,0.6798,161.1845,0.0393
April,1,camp 2,Medium,468 x 60,ghi,159,0.0625,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 2,Medium,468 x 60,jkl,4,0.0025,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 2,Medium,468 x 60,mno,3094,0.2878,5,0.1965,0,0.0,0.1616,68.2766,0.0393
April,1,camp 2,Low,580 x 400,mno,12604,2.4409,245,9.6317,0,0.0,1.9438,394.5963,0.0393
April,1,camp 2,Medium,580 x 400,mno,46408,22.7809,1766,69.4187,18,1683.7638,3.8054,304.7233,0.0393
April,1,camp 2,Low,670 x 90,def,552,0.1107,3,0.1179,0,0.0,0.5435,106.5041,0.0393
April,1,camp 2,Low,670 x 90,ghi,371,0.2683,5,0.1965,0,0.0,1.3477,73.2389,0.0393
April,1,camp 2,Low,670 x 90,jkl,36,0.0253,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 2,Low,670 x 90,mno,4624,0.2915,24,0.9435,0,0.0,0.519,323.6707,0.0393
April,1,camp 2,Medium,670 x 90,def,3957,1.6338,40,1.572,0,0.0,1.0109,96.2174,0.0393
April,1,camp 2,Medium,670 x 90,ghi,6501,4.9835,102,4.0095,5,359.4609,1.569,80.4555,0.0393
April,1,camp 2,Medium,670 x 90,jkl,449,0.3253,13,0.5104,0,0.0,2.8953,156.9013,0.0393
April,1,camp 2,Medium,670 x 90,mno,19507,3.8768,252,9.9063,6,253.8565,1.2918,255.5278,0.0393
April,1,camp 2,Low,728 x 90,def,12328,1.6025,74,2.9093,1,22.7769,0.6003,181.5476,0.0393
April,1,camp 2,Low,728 x 90,ghi,2999,3.1095,37,1.454,1,11.7896,1.2337,46.7599,0.0393
April,1,camp 2,Low,728 x 90,jkl,1380,0.5564,13,0.5111,0,0.0,0.942,91.8584,0.0393
April,1,camp 2,Low,728 x 90,mno,108130,9.4151,666,26.178,5,523.5354,0.6159,278.0427,0.0393
April,1,camp 2,Medium,728 x 90,abc,7,0.0117,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 2,Medium,728 x 90,def,59277,15.2085,722,28.3712,8,930.7221,1.218,186.5483,0.0393
April,1,camp 2,Medium,728 x 90,ghi,55588,63.9296,1515,59.5549,53,3942.6278,2.7254,93.157,0.0393
April,1,camp 2,Medium,728 x 90,jkl,13955,6.0226,228,8.9633,10,1160.8372,1.6338,148.8277,0.0393
April,1,camp 2,Medium,728 x 90,mno,390929,79.3017,5323,209.2502,63,38386.9424,1.3616,263.866,0.0393
April,1,camp 2,Medium,800 x 250,mno,28,0.0112,2,0.0786,0,0.0,7.1429,701.7857,0.0393
April,1,camp 3,High,160 x 600,def,2366,0.5795,4,0.2096,0,0.0,0.1691,36.1691,0.0524
April,1,camp 3,High,160 x 600,ghi,23,0.027,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 3,High,160 x 600,mno,22167,5.018,50,2.621,1,532.0745,0.2256,52.232,0.0524
April,1,camp 3,Low,160 x 600,abc,7,0.0093,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 3,Low,160 x 600,def,11834,0.6988,21,1.1008,0,0.0,0.1775,157.5272,0.0524
April,1,camp 3,Low,160 x 600,ghi,35,0.046,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 3,Low,160 x 600,mno,41489,2.2941,167,8.7543,0,0.0,0.4025,381.6006,0.0524
April,1,camp 3,Medium,160 x 600,abc,5,0.0064,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 3,Medium,160 x 600,def,17057,1.4853,51,2.6734,1,9.6979,0.299,179.9906,0.0524
April,1,camp 3,Medium,160 x 600,ghi,54,0.0723,1,0.0524,0,0.0,1.8519,72.4758,0.0524
April,1,camp 3,Medium,160 x 600,mno,82918,8.5739,533,27.9399,13,1195.3097,0.6428,325.8715,0.0524
April,1,camp 3,High,240 x 400,def,7325,1.5326,13,0.6814,1,128.4186,0.1775,44.4604,0.0524
April,1,camp 3,High,240 x 400,ghi,9037,7.402,67,3.5122,2,458.0165,0.7414,47.4493,0.0524
April,1,camp 3,High,240 x 400,jkl,5524,2.4892,33,1.729,4,145.7912,0.5974,69.4601,0.0524
April,1,camp 3,High,240 x 400,mno,25346,8.8753,62,3.2475,9,446.8068,0.2446,36.5903,0.0524
April,1,camp 3,Low,240 x 400,def,9414,0.7765,17,0.8911,0,0.0,0.1806,114.7585,0.0524
April,1,camp 3,Low,240 x 400,ghi,3810,2.6574,31,1.6242,0,0.0,0.8136,61.1199,0.0524
April,1,camp 3,Low,240 x 400,jkl,459,0.1932,8,0.4193,0,0.0,1.7429,217.029,0.0524
April,1,camp 3,Low,240 x 400,mno,24730,0.6839,34,1.7823,0,0.0,0.1375,260.6083,0.0524
April,1,camp 3,Medium,240 x 400,def,26007,2.7446,86,4.5065,0,0.0,0.3307,164.1951,0.0524
April,1,camp 3,Medium,240 x 400,ghi,17962,13.865,315,16.5126,3,339.5186,1.7537,119.0956,0.0524
April,1,camp 3,Medium,240 x 400,jkl,4265,1.8812,61,3.1976,0,0.0,1.4302,169.9766,0.0524
April,1,camp 3,Medium,240 x 400,mno,59998,4.4489,180,9.4358,2,201.9655,0.3,212.0929,0.0524
April,1,camp 3,High,300 x 250,def,4967,1.7042,19,0.996,0,0.0,0.3825,58.4438,0.0524
April,1,camp 3,High,300 x 250,ghi,1273,0.7603,13,0.6814,0,0.0,1.0212,89.6225,0.0524
April,1,camp 3,High,300 x 250,jkl,293,0.1758,1,0.0524,0,0.0,0.3413,29.8066,0.0524
April,1,camp 3,High,300 x 250,mno,30737,8.1757,94,4.9267,7,768.5861,0.3058,60.2603,0.0524
April,1,camp 3,Low,300 x 250,abc,1,0.0025,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 3,Low,300 x 250,def,12292,0.9557,63,3.3016,0,0.0,0.5125,345.4641,0.0524
April,1,camp 3,Low,300 x 250,ghi,831,0.4489,9,0.4717,0,0.0,1.083,105.0791,0.0524
April,1,camp 3,Low,300 x 250,jkl,3,0.0011,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 3,Low,300 x 250,mno,66100,2.7654,118,6.184,7,463.3167,0.1785,223.6205,0.0524
April,1,camp 3,Medium,300 x 250,abc,4,0.008,1,0.0524,0,0.0,25.0,655.0,0.0524
April,1,camp 3,Medium,300 x 250,def,21214,2.9495,126,6.6036,1,3.9307,0.5939,223.8888,0.0524
April,1,camp 3,Medium,300 x 250,ghi,2866,1.5827,69,3.6153,0,0.0,2.4075,228.4261,0.0524
April,1,camp 3,Medium,300 x 250,jkl,44,0.0227,1,0.0524,0,0.0,2.2727,230.837,0.0524
April,1,camp 3,Medium,300 x 250,mno,116957,9.17,418,21.9095,3,216.6186,0.3574,238.9258,0.0524
April,1,camp 3,High,468 x 60,def,111,0.0177,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 3,High,468 x 60,ghi,1,0.0003,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 3,High,468 x 60,mno,330,0.0217,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 3,Low,468 x 60,def,210,0.0141,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 3,Low,468 x 60,ghi,4,0.0015,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 3,Low,468 x 60,mno,363,0.0036,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 3,Medium,468 x 60,def,421,0.0278,3,0.1572,0,0.0,0.7126,565.4676,0.0524
April,1,camp 3,Medium,468 x 60,ghi,7,0.0027,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 3,Medium,468 x 60,mno,893,0.0148,1,0.0524,0,0.0,0.112,354.0541,0.0524
April,1,camp 3,High,580 x 400,mno,7540,3.1057,32,1.6769,0,0.0,0.4244,53.9943,0.0524
April,1,camp 3,Low,580 x 400,mno,10045,0.752,73,3.8267,0,0.0,0.7267,508.8697,0.0524
April,1,camp 3,Medium,580 x 400,mno,23157,3.0873,248,12.9996,1,66.9636,1.071,421.067,0.0524
April,1,camp 3,High,670 x 90,def,485,0.1478,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 3,High,670 x 90,ghi,115,0.0928,1,0.0524,0,0.0,0.8696,56.4655,0.0524
April,1,camp 3,High,670 x 90,jkl,28,0.0178,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 3,High,670 x 90,mno,1978,0.3535,2,0.1048,0,0.0,0.1011,29.6464,0.0524
April,1,camp 3,Low,670 x 90,def,368,0.0392,3,0.1572,0,0.0,0.8152,401.0204,0.0524
April,1,camp 3,Low,670 x 90,ghi,44,0.0411,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 3,Low,670 x 90,jkl,5,0.0026,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 3,Low,670 x 90,mno,2852,0.0522,8,0.4193,0,0.0,0.2805,803.2567,0.0524
April,1,camp 3,Medium,670 x 90,def,2313,0.3211,8,0.4193,0,0.0,0.3459,130.5824,0.0524
April,1,camp 3,Medium,670 x 90,ghi,146,0.1441,1,0.0524,0,0.0,0.6849,36.3636,0.0524
April,1,camp 3,Medium,670 x 90,jkl,78,0.0445,2,0.1048,0,0.0,2.5641,235.5056,0.0524
April,1,camp 3,Medium,670 x 90,mno,7479,0.2922,5,0.2612,0,0.0,0.0669,89.3908,0.0522
April,1,camp 3,High,728 x 90,def,7601,1.6849,23,1.2056,1,185.3349,0.3026,71.5532,0.0524
April,1,camp 3,High,728 x 90,ghi,1274,1.4142,7,0.3669,0,0.0,0.5495,25.944,0.0524
April,1,camp 3,High,728 x 90,jkl,1960,0.7769,8,0.4193,0,0.0,0.4082,53.9709,0.0524
April,1,camp 3,High,728 x 90,mno,37014,7.8852,105,5.5033,9,462.9524,0.2837,69.7928,0.0524
April,1,camp 3,Low,728 x 90,abc,2,0.0021,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 3,Low,728 x 90,def,12477,1.1348,63,3.2986,0,0.0,0.5049,290.6768,0.0524
April,1,camp 3,Low,728 x 90,ghi,550,0.5864,4,0.2096,0,0.0,0.7273,35.7435,0.0524
April,1,camp 3,Low,728 x 90,jkl,150,0.0445,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 3,Low,728 x 90,mno,91468,3.836,316,16.5625,2,561.1487,0.3455,431.7649,0.0524
April,1,camp 3,Medium,728 x 90,abc,2,0.003,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 3,Medium,728 x 90,def,29216,3.4209,146,7.6526,1,8.6485,0.4997,223.7014,0.0524
April,1,camp 3,Medium,728 x 90,ghi,1737,1.6859,17,0.8911,0,0.0,0.9787,52.856,0.0524
April,1,camp 3,Medium,728 x 90,jkl,1852,0.617,9,0.4717,0,0.0,0.486,76.4506,0.0524
April,1,camp 3,Medium,728 x 90,mno,174462,12.3332,707,37.055,1,136.5586,0.4052,300.4492,0.0524
April,1,camp 3,High,800 x 250,mno,2,0.0001,0,0.0,0,0.0,0.0,0.0,0.0
April,1,camp 3,Low,800 x 250,mno,1,0.0,0,0.0,0,0.0,0.0,0.0,0.0
April,2,camp 1,High,160 x 600,abc,2,0.005,0,0.0,0,0.0,0.0,0.0,0.0
April,2,camp 1,High,160 x 600,def,17332,19.7963,140,25.2734,26,1921.272,0.8078,127.6673,0.1805
April,2,camp 1,High,160 x 600,ghi,14288,26.2022,151,27.2622,59,3860.1421,1.0568,104.0455,0.1805
April,2,camp 1,High,160 x 600,mno,154658,180.7481,1509,272.4525,542,23994.6771,0.9757,150.736,0.1806
April,2,camp 1,Low,160 x 600,def,341,0.039,0,0.0,0,0.0,0.0,0.0,0.0
April,2,camp 1,Low,160 x 600,ghi,10,0.0131,0,0.0,0,0.0,0.0,0.0,0.0
April,2,camp 1,Low,160 x 600,mno,2083,0.3635,3,0.5416,2,51.5584,0.144,148.9959,0.1805
April,2,camp 1,Medium,160 x 600,def,2261,0.953,2,0.361,0,0.0,0.0885,37.8804,0.1805
April,2,camp 1,Medium,160 x 600,ghi,502,0.8465,3,0.5416,0,0.0,0.5976,63.9811,0.1805
April,2,camp 1,Medium,160 x 600,mno,17427,8.2093,159,28.7066,37,2403.4922,0.9124,349.6839,0.1805
April,2,camp 1,High,240 x 400,def,48847,43.9118,305,55.0681,43,3552.283,0.6244,125.4062,0.1806
April,2,camp 1,High,240 x 400,ghi,304804,275.3454,7767,1402.2994,2187,113046.5668,2.5482,509.2874,0.1805
April,2,camp 1,High,240 x 400,jkl,54447,24.8181,528,95.3277,175,8840.9398,0.9698,384.1056,0.1805
April,2,camp 1,High,240 x 400,mno,187529,312.1415,1633,294.836,672,31683.7408,0.8708,94.4559,0.1805
April,2,camp 1,Low,240 x 400,def,422,0.0556,1,0.1805,0,0.0,0.237,324.6403,0.1805
April,2,camp 1,Low,240 x 400,ghi,940,0.7412,18,3.2498,3,126.8199,1.9149,438.4512,0.1805
April,2,camp 1,Low,240 x 400,jkl,314,0.1325,1,0.1805,0,0.0,0.3185,136.2264,0.1805
April,2,camp 1,Low,240 x 400,mno,1580,0.3519,3,0.5416,0,0.0,0.1899,153.9074,0.1805
April,2,camp 1,Medium,240 x 400,def,5354,1.8911,12,2.1665,1,13.3345,0.2241,114.563,0.1805
April,2,camp 1,Medium,240 x 400,ghi,16728,14.406,436,78.7176,40,1973.808,2.6064,546.4223,0.1805
April,2,camp 1,Medium,240 x 400,jkl,3892,1.7273,43,7.7634,8,424.1517,1.1048,449.4529,0.1805
April,2,camp 1,Medium,240 x 400,mno,15017,9.845,118,21.3053,24,1376.4896,0.7858,216.4073,0.1806
April,2,camp 1,High,300 x 250,abc,6,0.0165,0,0.0,0,0.0,0.0,0.0,0.0
April,2,camp 1,High,300 x 250,def,41896,45.4333,277,50.0109,102,4162.0391,0.6612,110.0754,0.1805
April,2,camp 1,High,300 x 250,ghi,70071,46.7762,1325,239.2221,361,14883.7289,1.8909,511.4184,0.1805
April,2,camp 1,High,300 x 250,jkl,5132,2.8429,26,4.6941,13,971.9768,0.5066,165.1166,0.1805
April,2,camp 1,High,300 x 250,mno,235317,275.17,1844,332.9273,896,77490.5358,0.7836,120.9897,0.1805
April,2,camp 1,Low,300 x 250,abc,1,0.0008,0,0.0,0,0.0,0.0,0.0,0.0
April,2,camp 1,Low,300 x 250,def,424,0.1294,3,0.5416,0,0.0,0.7075,418.5471,0.1805
April,2,camp 1,Low,300 x 250,ghi,216,0.1213,5,0.9027,0,0.0,2.3148,744.188,0.1805
April,2,camp 1,Low,300 x 250,jkl,12,0.0077,0,0.0,0,0.0,0.0,0.0,0.0
April,2,camp 1,Low,300 x 250,mno,2745,0.4702,6,1.0832,0,0.0,0.2186,230.3701,0.1805
April,2,camp 1,Medium,300 x 250,abc,1,0.002,0,0.0,0,0.0,0.0,0.0,0.0
April,2,camp 1,Medium,300 x 250,def,4324,2.9404,22,3.9719,2,58.5481,0.5088,135.0803,0.1805
April,2,camp 1,Medium,300 x 250,ghi,3171,1.9555,99,17.8739,10,88.1188,3.122,914.0322,0.1805
April,2,camp 1,Medium,300 x 250,jkl,230,0.1307,1,0.1805,1,150.8711,0.4348,138.1025,0.1805
April,2,camp 1,Medium,300 x 250,mno,23404,11.9484,142,25.6373,14,520.8722,0.6067,214.5668,0.1805
April,2,camp 1,High,468 x 60,def,1076,0.5295,4,0.7221,0,0.0,0.3717,136.3739,0.1805
April,2,camp 1,High,468 x 60,ghi,350,0.1354,0,0.0,0,0.0,0.0,0.0,0.0
April,2,camp 1,High,468 x 60,jkl,9,0.0057,0,0.0,0,0.0,0.0,0.0,0.0
April,2,camp 1,High,468 x 60,mno,3432,1.7688,9,1.6259,17,1808.8476,0.2622,91.9211,0.1807
April,2,camp 1,Low,468 x 60,def,5,0.0004,0,0.0,0,0.0,0.0,0.0,0.0
